model,Epoch,Framework,Value
gru,13,Keras,0.999484998
gru,14,Keras,0.999572504
gru,15,Keras,0.999524999
gru,16,Keras,0.999685001
gru,17,Keras,0.999585009
gru,18,Keras,0.999362499
gru,19,Keras,0.999664998
gru,20,Keras,0.999875003
gru,21,Keras,0.999882507
gru,22,Keras,0.999895
gru,23,Keras,0.999930006
gru,24,Keras,0.999865001
gru,25,Keras,0.999962503
gru,26,Keras,0.999972504
gru,27,Keras,0.999972498
gru,28,Keras,0.999987501
gru,29,Keras,0.999879998
gru,30,Keras,0.99993
gru,31,Keras,0.999967498
gru,32,Keras,0.999954998
gru,33,Keras,1
gru,34,Keras,1
gru,35,Keras,1
gru,36,Keras,1
gru,37,Keras,1
gru,38,Keras,1
gru,39,Keras,1
gru,40,Keras,1
gru,41,Keras,1
gru,42,Keras,1
gru,43,Keras,1
gru,44,Keras,1
gru,45,Keras,1
gru,46,Keras,1
gru,47,Keras,1
gru,48,Keras,1
gru,49,Keras,1
gru,50,Keras,1
lenet5,1,pytorch,0.73987
lenet5,2,pytorch,0.96371
lenet5,3,pytorch,0.97734
lenet5,4,pytorch,0.98149
lenet5,5,pytorch,0.98421
lenet5,6,pytorch,0.98631
lenet5,7,pytorch,0.98757
lenet5,8,pytorch,0.99266
lenet5,9,pytorch,0.9946
lenet5,10,pytorch,0.99537
lenet5,11,pytorch,0.99581
lenet5,12,pytorch,0.99623
lenet5,13,pytorch,0.99653
lenet5,14,pytorch,0.99683
lenet5,15,pytorch,0.99719
lenet5,16,pytorch,0.99733
lenet5,17,pytorch,0.99738
lenet5,18,pytorch,0.99739
lenet5,19,pytorch,0.99739
lenet5,20,pytorch,0.99745
lenet5,21,pytorch,0.99746
lenet5,22,pytorch,0.99752
lenet5,23,pytorch,0.99751
lenet5,24,pytorch,0.99751
lenet5,25,pytorch,0.9975
lenet5,26,pytorch,0.9975
lenet5,27,pytorch,0.99752
lenet5,28,pytorch,0.99752
lenet5,29,pytorch,0.99754
lenet5,30,pytorch,0.99754
lenet5,31,pytorch,0.99754
lenet5,32,pytorch,0.99754
lenet5,33,pytorch,0.99754
lenet5,34,pytorch,0.99754
lenet5,35,pytorch,0.99754
lenet5,36,pytorch,0.99754
lenet5,37,pytorch,0.99754
lenet5,38,pytorch,0.99754
lenet5,39,pytorch,0.99754
lenet5,40,pytorch,0.99754
lenet5,41,pytorch,0.99754
lenet5,42,pytorch,0.99754
lenet5,43,pytorch,0.99754
lenet5,44,pytorch,0.99754
lenet5,45,pytorch,0.99754
lenet5,46,pytorch,0.99754
lenet5,47,pytorch,0.99754
lenet5,48,pytorch,0.99754
lenet5,49,pytorch,0.99754
lenet5,50,pytorch,0.99754
resnet18,1,pytorch,0.5379
resnet18,2,pytorch,0.68574
resnet18,3,pytorch,0.72974
resnet18,4,pytorch,0.75686
resnet18,5,pytorch,0.77575
resnet18,6,pytorch,0.78994
resnet18,7,pytorch,0.80173
resnet18,8,pytorch,0.81695
resnet18,9,pytorch,0.82027
resnet18,10,pytorch,0.8217
resnet18,11,pytorch,0.82424
resnet18,12,pytorch,0.82504
resnet18,13,pytorch,0.82612
resnet18,14,pytorch,0.82775
resnet18,15,pytorch,0.82912
resnet18,16,pytorch,0.82999
resnet18,17,pytorch,0.83024
resnet18,18,pytorch,0.8296
resnet18,19,pytorch,0.83023
resnet18,20,pytorch,0.83024
resnet18,21,pytorch,0.83004
resnet18,22,pytorch,0.83082
resnet18,23,pytorch,0.83089
resnet18,24,pytorch,0.83086
resnet18,25,pytorch,0.83063
resnet18,26,pytorch,0.83079
resnet18,27,pytorch,0.83108
resnet18,28,pytorch,0.83059
resnet18,29,pytorch,0.83087
resnet18,30,pytorch,0.83068
resnet18,31,pytorch,0.83067
resnet18,32,pytorch,0.83115
resnet18,33,pytorch,0.83083
resnet18,34,pytorch,0.83101
resnet18,35,pytorch,0.83092
resnet18,36,pytorch,0.83101
resnet18,37,pytorch,0.83126
resnet18,38,pytorch,0.83025
resnet18,39,pytorch,0.831
resnet18,40,pytorch,0.83014
resnet18,41,pytorch,0.83056
resnet18,42,pytorch,0.83035
resnet18,43,pytorch,0.83085
resnet18,44,pytorch,0.83051
resnet18,45,pytorch,0.83041
resnet18,46,pytorch,0.83118
resnet18,47,pytorch,0.83074
resnet18,48,pytorch,0.82997
resnet18,49,pytorch,0.831
resnet18,50,pytorch,0.83116
vgg,1,pytorch,0.56201
vgg,2,pytorch,0.74443
vgg,3,pytorch,0.78989
vgg,4,pytorch,0.81656
vgg,5,pytorch,0.83457
vgg,6,pytorch,0.84854
vgg,7,pytorch,0.86053
vgg,8,pytorch,0.87236
vgg,9,pytorch,0.87538
vgg,10,pytorch,0.87642
vgg,11,pytorch,0.878
vgg,12,pytorch,0.87929
vgg,13,pytorch,0.88036
vgg,14,pytorch,0.88261
vgg,15,pytorch,0.88345
vgg,16,pytorch,0.88341
vgg,17,pytorch,0.88334
vgg,18,pytorch,0.88381
vgg,19,pytorch,0.88365
vgg,20,pytorch,0.88427
vgg,21,pytorch,0.88427
vgg,22,pytorch,0.88411
vgg,23,pytorch,0.88429
vgg,24,pytorch,0.88434
vgg,25,pytorch,0.88394
vgg,26,pytorch,0.88385
vgg,27,pytorch,0.88435
vgg,28,pytorch,0.88416
vgg,29,pytorch,0.8842
vgg,30,pytorch,0.88375
vgg,31,pytorch,0.88415
vgg,32,pytorch,0.88397
vgg,33,pytorch,0.88425
vgg,34,pytorch,0.88445
vgg,35,pytorch,0.88397
vgg,36,pytorch,0.88421
vgg,37,pytorch,0.88387
vgg,38,pytorch,0.88417
vgg,39,pytorch,0.88474
vgg,40,pytorch,0.88479
vgg,41,pytorch,0.88438
vgg,42,pytorch,0.88486
vgg,43,pytorch,0.88422
vgg,44,pytorch,0.88399
vgg,45,pytorch,0.8843
vgg,46,pytorch,0.88393
vgg,47,pytorch,0.88447
vgg,48,pytorch,0.88406
vgg,49,pytorch,0.88463
vgg,50,pytorch,0.88422
lstm,1,pytorch,0.737096
lstm,2,pytorch,0.83052
lstm,3,pytorch,0.852845333
lstm,4,pytorch,0.8672
lstm,5,pytorch,0.878216
lstm,6,pytorch,0.890504
lstm,7,pytorch,0.905688
