model,Epoch,Framework,Framework_mean,Framework_std,Value,std
ResNet-18,33,Keras,Keras (mean),Keras (std),1.0,0.0
ResNet-18,34,Keras,Keras (mean),Keras (std),1.0,0.0
ResNet-18,35,Keras,Keras (mean),Keras (std),0.9999975025653839,7.492303848233295e-06
ResNet-18,36,Keras,Keras (mean),Keras (std),1.0,0.0
ResNet-18,37,Keras,Keras (mean),Keras (std),0.9999925017356872,1.6007211045704426e-05
ResNet-18,38,Keras,Keras (mean),Keras (std),0.9999975025653839,7.492303848233294e-06
ResNet-18,39,Keras,Keras (mean),Keras (std),0.9999975025653839,7.492303848233294e-06
ResNet-18,40,Keras,Keras (mean),Keras (std),1.0,0.0
ResNet-18,41,Keras,Keras (mean),Keras (std),0.9999975025653839,7.492303848233294e-06
ResNet-18,42,Keras,Keras (mean),Keras (std),1.0,0.0
ResNet-18,43,Keras,Keras (mean),Keras (std),0.9999975025653839,7.492303848233294e-06
ResNet-18,44,Keras,Keras (mean),Keras (std),1.0,0.0
ResNet-18,45,Keras,Keras (mean),Keras (std),0.9999825060367584,1.95254345162919e-05
ResNet-18,46,Keras,Keras (mean),Keras (std),0.9999774992465973,5.297426139205615e-05
ResNet-18,47,Keras,Keras (mean),Keras (std),1.0,0.0
ResNet-18,48,Keras,Keras (mean),Keras (std),1.0,0.0
ResNet-18,49,Keras,Keras (mean),Keras (std),1.0,0.0
ResNet-18,50,Keras,Keras (mean),Keras (std),0.9999925017356872,1.6007211045704426e-05
VGG,1,Keras,Keras (mean),Keras (std),0.324022501707077,0.005514176589655324
VGG,2,Keras,Keras (mean),Keras (std),0.48257500529289243,0.01014877021173877
VGG,3,Keras,Keras (mean),Keras (std),0.5727074980735779,0.010038092813173097
VGG,4,Keras,Keras (mean),Keras (std),0.637422502040863,0.009806711659524141
VGG,5,Keras,Keras (mean),Keras (std),0.6895824909210205,0.009933419621809415
VGG,6,Keras,Keras (mean),Keras (std),0.7317550003528595,0.009784918715970049
VGG,7,Keras,Keras (mean),Keras (std),0.7704549968242645,0.009789088696603818
VGG,8,Keras,Keras (mean),Keras (std),0.8074050009250641,0.009977575859617917
VGG,9,Keras,Keras (mean),Keras (std),0.8412725031375885,0.008645347765276245
VGG,10,Keras,Keras (mean),Keras (std),0.8736675024032593,0.0077845581188767075
VGG,11,Keras,Keras (mean),Keras (std),0.9019449889659882,0.008159444754226183
VGG,12,Keras,Keras (mean),Keras (std),0.9270924866199494,0.006472263714508435
VGG,13,Keras,Keras (mean),Keras (std),0.9472574949264526,0.005371368338626771
VGG,14,Keras,Keras (mean),Keras (std),0.9630925059318542,0.004997577036255104
VGG,15,Keras,Keras (mean),Keras (std),0.9726774990558624,0.004429163522728649
VGG,16,Keras,Keras (mean),Keras (std),0.9790800034999847,0.0016843334200310682
VGG,17,Keras,Keras (mean),Keras (std),0.9839950025081634,0.0019207072929762147
VGG,18,Keras,Keras (mean),Keras (std),0.9878175020217895,0.001513701072901646
VGG,19,Keras,Keras (mean),Keras (std),0.990384989976883,0.0015944857310201232
VGG,20,Keras,Keras (mean),Keras (std),0.9925625026226044,0.0015153814459265922
VGG,21,Keras,Keras (mean),Keras (std),0.994365006685257,0.0012305540326789082
VGG,22,Keras,Keras (mean),Keras (std),0.9947250008583068,0.0018495271557355116
VGG,23,Keras,Keras (mean),Keras (std),0.9963800072669983,0.0017257865911048656
VGG,24,Keras,Keras (mean),Keras (std),0.997094988822937,0.0012202381880409136
VGG,25,Keras,Keras (mean),Keras (std),0.997807502746582,0.0008795584541256754
VGG,26,Keras,Keras (mean),Keras (std),0.9981225073337555,0.0006609079583956575
VGG,27,Keras,Keras (mean),Keras (std),0.9981949985027313,0.0009949071585684563
VGG,28,Keras,Keras (mean),Keras (std),0.9983749985694885,0.0011324879539640032
VGG,29,Keras,Keras (mean),Keras (std),0.9984974980354309,0.0008295590032846832
VGG,30,Keras,Keras (mean),Keras (std),0.9986225068569183,0.000847310601400428
VGG,31,Keras,Keras (mean),Keras (std),0.998532497882843,0.000965201872520896
VGG,32,Keras,Keras (mean),Keras (std),0.9984800040721893,0.0012988293650463714
VGG,33,Keras,Keras (mean),Keras (std),0.9986400067806244,0.001438293924589962
VGG,34,Keras,Keras (mean),Keras (std),0.998722505569458,0.0016859212150078374
VGG,35,Keras,Keras (mean),Keras (std),0.9983524918556214,0.0026041871732327805
VGG,36,Keras,Keras (mean),Keras (std),0.9978375017642975,0.0044637284690345275
VGG,37,Keras,Keras (mean),Keras (std),0.997299998998642,0.0052735689346592556
VGG,38,Keras,Keras (mean),Keras (std),0.997269994020462,0.005211356589994833
VGG,39,Keras,Keras (mean),Keras (std),0.9970699965953826,0.005013006364831742
VGG,40,Keras,Keras (mean),Keras (std),0.9951550006866455,0.007144965669592736
VGG,41,Keras,Keras (mean),Keras (std),0.9938000082969666,0.0094004822891995
VGG,42,Keras,Keras (mean),Keras (std),0.9918925106525421,0.013548448915750933
VGG,43,Keras,Keras (mean),Keras (std),0.9927275002002716,0.012347225592546973
VGG,44,Keras,Keras (mean),Keras (std),0.9942924916744232,0.009712114488780905
VGG,45,Keras,Keras (mean),Keras (std),0.9960200071334839,0.006664735016568664
VGG,46,Keras,Keras (mean),Keras (std),0.9965974986553192,0.004897604378354781
