model,framework,training_id,model_full,direction,batch_size,round,converter,original_size,converted_size,original_infererence_time,converted_infererence_time,conversion_time,saving_converted_time,overral_time,avg_abs_error,median_abs_error,min_abs_error,max_abs_error,avg_rel_error,median_rel_error,min_rel_error,max_rel_error
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,5,3,onnx2keras,89756056,44817208,0.0688178539276123,0.33515119552612305,0.4887564182281494,0.1864490509033203,2.045126438140869,3.9664164e-07,7.479684e-09,2.3874236e-12,3.2782555e-06,4.4691956e-06,3.400128e-06,7.305481e-08,2.0128722e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,5,4,onnxruntime,89756056,44688726,0.06455469131469727,0.041657447814941406,10.307511806488037,,10.576816082000732,5.0166324e-07,1.169974e-08,2.2737368e-13,4.6491623e-06,7.379236e-06,7.0135725e-06,1.0643587e-07,2.0359741e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,5,4,onnx2keras,89756056,44817208,0.06455469131469727,0.33270788192749023,0.49010324478149414,0.18040895462036133,1.982557773590088,4.992684e-07,9.487849e-09,1.5916157e-12,3.33786e-06,5.4372026e-06,4.5368224e-06,3.504392e-07,1.6295104e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,5,4,onnx2keras,89756056,44817208,0.06455469131469727,0.33270788192749023,0.49010324478149414,0.18040895462036133,1.982557773590088,1.9174317e-07,1.0506483e-08,1.8189894e-12,1.4901161e-06,6.2429604e-06,5.098615e-06,2.0714116e-07,2.4094948e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,5,5,onnxruntime,89756056,44688726,0.06654763221740723,0.04106593132019043,9.93331003189087,,10.222909927368164,3.2621466e-07,4.598405e-09,0.0,2.682209e-06,4.295564e-06,3.3583042e-06,0.0,1.15785015e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,5,5,onnx2keras,89756056,44817208,0.06654763221740723,0.3390991687774658,0.49269843101501465,0.18461251258850098,2.0514276027679443,5.0292726e-07,6.519258e-09,2.9558578e-12,2.771616e-06,4.937209e-06,4.263893e-06,3.481516e-07,1.6064989e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,5,5,onnx2keras,89756056,44817208,0.06654763221740723,0.3390991687774658,0.49269843101501465,0.18461251258850098,2.0514276027679443,2.2320339e-07,4.7439244e-09,3.524292e-12,2.6226044e-06,4.5899715e-06,3.580609e-06,1.1762247e-07,1.6064989e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,5,6,onnxruntime,89756056,44688726,0.06640005111694336,0.04161381721496582,9.993238925933838,,10.264995813369751,2.7192485e-07,9.19681e-09,9.094947e-13,3.516674e-06,5.7121065e-06,4.97551e-06,9.236351e-08,1.759305e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,5,6,onnx2keras,89756056,44817208,0.06640005111694336,0.3382852077484131,0.49213266372680664,0.18240141868591309,1.9923725128173828,2.8252086e-07,1.2194505e-08,4.5474735e-13,2.8014183e-06,6.188503e-06,4.727046e-06,1.4580053e-07,1.874645e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,5,6,onnx2keras,89756056,44817208,0.06640005111694336,0.3382852077484131,0.49213266372680664,0.18240141868591309,1.9923725128173828,2.4069487e-07,1.2601959e-08,2.046363e-12,2.503395e-06,5.2326423e-06,4.939262e-06,2.1321694e-07,1.4728532e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,5,7,onnxruntime,89756056,44688726,0.08172178268432617,0.04111599922180176,9.978475332260132,,10.28264045715332,4.3888483e-07,1.8364517e-08,1.1368684e-12,2.8312206e-06,4.913638e-06,4.9385726e-06,2.9398115e-07,1.9433624e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,5,7,onnx2keras,89756056,44817208,0.08172178268432617,0.3365926742553711,0.7366247177124023,0.18486952781677246,2.303645372390747,6.8050656e-07,7.508788e-09,0.0,6.2286854e-06,5.903044e-06,4.7719395e-06,0.0,1.5543299e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,5,7,onnx2keras,89756056,44817208,0.08172178268432617,0.3365926742553711,0.7366247177124023,0.18486952781677246,2.303645372390747,3.5118933e-07,4.132744e-09,0.0,4.2021275e-06,3.969517e-06,3.104129e-06,0.0,1.2878733e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,5,8,onnxruntime,89756056,44688726,0.06645512580871582,0.041561126708984375,10.434232950210571,,10.706664562225342,6.2650065e-07,7.21775e-09,7.9580786e-13,4.5597553e-06,5.808499e-06,4.5583893e-06,1.3899476e-07,2.1491453e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,5,8,onnx2keras,89756056,44817208,0.06645512580871582,0.336444616317749,0.49170804023742676,0.1839287281036377,2.0015203952789307,8.262039e-07,7.770723e-09,4.5474735e-13,6.020069e-06,6.944707e-06,5.869515e-06,2.4623637e-07,1.9209443e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,5,8,onnx2keras,89756056,44817208,0.06645512580871582,0.336444616317749,0.49170804023742676,0.1839287281036377,2.0015203952789307,2.6297903e-07,6.897608e-09,7.9580786e-13,3.3974648e-06,4.3755294e-06,3.4010063e-06,1.9379901e-07,1.51241775e-05
